ticket_id,opened_at,channel,category,priority,status,first_response_hours,resolution_hours,csat_score
TCK-3001,2026-01-12 21:00,Call Center,Delivery issue,High,Resolved,18,66,3
TCK-3002,2026-01-09 13:00,Call Center,Payment issue,Medium,Escalated,2,,
TCK-3003,2026-01-15 21:00,Email,Delivery issue,Medium,Resolved,8,16,4
TCK-3004,2026-01-31 13:00,Chat,General inquiry,Low,Resolved,1,49,5
TCK-3005,2026-01-02 09:00,Email,Account issue,Medium,Resolved,8,56,5
TCK-3006,2026-01-19 15:00,Chat,Refund,Low,Resolved,18,30,3
TCK-3007,2026-01-12 15:00,Email,Delivery issue,High,Resolved,3,21,5
TCK-3008,2026-01-23 22:00,App,General inquiry,Medium,Resolved,1,9,4
TCK-3009,2026-01-29 19:00,App,Delivery issue,Medium,Open,,,
TCK-3010,2026-01-15 13:00,Chat,Payment issue,Medium,Resolved,4,22,4
TCK-3011,2026-01-08 19:00,Email,Refund,Low,Open,,,
TCK-3012,2026-01-28 10:00,Email,Delivery issue,Medium,Resolved,12,30,4
TCK-3013,2026-01-19 21:00,Chat,Refund,Medium,Resolved,8,56,3
TCK-3014,2026-01-11 15:00,App,Payment issue,High,Escalated,2,,
TCK-3015,2026-01-18 15:00,Chat,Refund,Medium,Resolved,2,14,4
TCK-3016,2026-01-08 22:00,Call Center,Payment issue,Medium,Resolved,2,20,3
TCK-3017,2026-01-27 19:00,Call Center,General inquiry,Medium,Resolved,3,39,4
TCK-3018,2026-01-17 10:00,Chat,Payment issue,High,Escalated,1,,
TCK-3019,2026-01-12 14:00,Email,Payment issue,Low,Resolved,12,20,4
TCK-3020,2026-01-17 20:00,App,Delivery issue,Medium,Escalated,3,,
TCK-3021,2026-01-29 17:00,Email,General inquiry,High,Resolved,5,13,4
TCK-3022,2026-01-19 12:00,Call Center,Delivery issue,Medium,Escalated,1,,
TCK-3023,2026-01-17 20:00,App,Delivery issue,Medium,Open,,,
TCK-3024,2026-01-14 22:00,Email,Payment issue,High,Resolved,3,51,5
TCK-3025,2026-01-27 13:00,App,Account issue,Low,Resolved,3,39,5
TCK-3026,2026-01-30 15:00,Chat,Refund,Low,Resolved,2,14,5
TCK-3027,2026-01-25 22:00,Call Center,Refund,Low,Resolved,5,53,5
TCK-3028,2026-01-01 16:00,Email,General inquiry,Medium,Resolved,1,9,4
TCK-3029,2026-01-06 09:00,App,Delivery issue,Medium,Resolved,5,29,4
TCK-3030,2026-01-09 08:00,App,Account issue,High,Open,,,
TCK-3031,2026-01-28 09:00,Call Center,Refund,Medium,Resolved,1,13,5
TCK-3032,2026-01-17 20:00,Call Center,Payment issue,Medium,Resolved,2,6,5
TCK-3033,2026-01-19 11:00,Call Center,Refund,Medium,Escalated,3,,
TCK-3034,2026-01-06 21:00,App,Refund,Low,Open,,,
TCK-3035,2026-01-31 08:00,Chat,Refund,Medium,Resolved,8,26,5
TCK-3036,2026-01-26 22:00,App,Account issue,Medium,Escalated,12,,
TCK-3037,2026-01-17 10:00,App,Account issue,Medium,Open,,,
TCK-3038,2026-01-04 16:00,Email,General inquiry,Medium,Open,,,
TCK-3039,2026-01-22 08:00,Call Center,Delivery issue,Medium,Open,,,
TCK-3040,2026-01-26 22:00,Chat,General inquiry,Low,Escalated,1,,
TCK-3041,2026-01-09 18:00,App,Refund,Low,Resolved,2,14,4
TCK-3042,2026-01-31 08:00,Email,Delivery issue,Medium,Resolved,2,14,3
TCK-3043,2026-01-20 22:00,Email,Refund,Medium,Escalated,2,,
TCK-3044,2026-01-04 16:00,Chat,Account issue,Medium,Escalated,5,,
TCK-3045,2026-01-08 19:00,Email,Refund,Low,Open,,,
TCK-3046,2026-01-07 16:00,Call Center,Refund,Medium,Resolved,18,42,4
TCK-3047,2026-01-01 11:00,Call Center,General inquiry,Medium,Escalated,4,,
TCK-3048,2026-01-13 08:00,Chat,General inquiry,Medium,Resolved,3,51,4
TCK-3049,2026-01-16 12:00,App,Payment issue,Medium,Resolved,4,16,5
TCK-3050,2026-01-03 17:00,Call Center,Refund,Medium,Resolved,18,54,4
TCK-3051,2026-01-24 20:00,Call Center,Account issue,Low,Resolved,4,40,4
TCK-3052,2026-01-05 18:00,App,Refund,Medium,Escalated,5,,
TCK-3053,2026-01-09 20:00,App,Refund,Medium,Resolved,12,60,5
TCK-3054,2026-01-19 09:00,Call Center,Account issue,High,Resolved,12,36,5
TCK-3055,2026-01-20 09:00,Chat,Account issue,High,Open,,,
TCK-3056,2026-01-10 13:00,App,Refund,High,Resolved,12,48,5
TCK-3057,2026-01-15 12:00,Call Center,General inquiry,Medium,Resolved,5,53,5
TCK-3058,2026-01-19 11:00,Email,Account issue,Low,Escalated,8,,
TCK-3059,2026-01-07 14:00,Call Center,Account issue,Low,Resolved,1,5,5
TCK-3060,2026-01-25 12:00,Chat,Delivery issue,High,Open,,,
TCK-3061,2026-01-20 18:00,Email,Delivery issue,Medium,Resolved,18,22,5
TCK-3062,2026-01-12 16:00,Call Center,Refund,High,Open,,,
TCK-3063,2026-01-15 20:00,Chat,Account issue,Medium,Resolved,2,10,3
TCK-3064,2026-01-27 12:00,Chat,General inquiry,Medium,Resolved,2,38,5
TCK-3065,2026-01-21 10:00,Call Center,Payment issue,Medium,Resolved,4,28,3
TCK-3066,2026-01-21 17:00,Call Center,Delivery issue,Low,Resolved,8,32,3
TCK-3067,2026-01-10 19:00,App,Delivery issue,Low,Resolved,5,23,4
TCK-3068,2026-01-06 15:00,Call Center,General inquiry,Medium,Resolved,3,27,3
TCK-3069,2026-01-05 10:00,Email,General inquiry,Low,Resolved,1,5,5
TCK-3070,2026-01-27 15:00,Chat,Payment issue,High,Resolved,1,37,4
TCK-3071,2026-01-12 12:00,App,Account issue,Medium,Resolved,1,13,4
TCK-3072,2026-01-15 17:00,Call Center,General inquiry,High,Resolved,1,5,3
